Gene stable ID	Gene name	GO term accession
ENSMUSG00000005718	Tfap4	GO:0001228
ENSMUSG00000014303	Glis2	GO:0001228
ENSMUSG00000000134	Tfe3	GO:0001228
ENSMUSG00000038255	Neurod2	GO:0001228
ENSMUSG00000022010	Tsc22d1	GO:0001228
ENSMUSG00000067860	Zic3	GO:0001228
ENSMUSG00000067860	Zic3	GO:0001228
ENSMUSG00000067860	Zic3	GO:0001228
ENSMUSG00000067860	Zic3	GO:0001228
ENSMUSG00000067860	Zic3	GO:0001228
ENSMUSG00000000078	Klf6	GO:0001228
ENSMUSG00000033585	Ndn	GO:0001228
ENSMUSG00000012640	Zfp715	GO:0001228
ENSMUSG00000012640	Zfp715	GO:0001228
ENSMUSG00000012640	Zfp715	GO:0001228
ENSMUSG00000012640	Zfp715	GO:0001228
ENSMUSG00000012640	Zfp715	GO:0001228
ENSMUSG00000012640	Zfp715	GO:0001228
ENSMUSG00000018168	Ikzf3	GO:0001228
ENSMUSG00000028023	Pitx2	GO:0001228
ENSMUSG00000028023	Pitx2	GO:0001228
ENSMUSG00000028023	Pitx2	GO:0001228
ENSMUSG00000028023	Pitx2	GO:0001228
ENSMUSG00000028023	Pitx2	GO:0001228
ENSMUSG00000052040	Klf13	GO:0001228
ENSMUSG00000025105	Bnc1	GO:0001216
ENSMUSG00000039087	Rreb1	GO:0001228
ENSMUSG00000039087	Rreb1	GO:0001228
ENSMUSG00000039087	Rreb1	GO:0001228
ENSMUSG00000039087	Rreb1	GO:0001228
ENSMUSG00000039087	Rreb1	GO:0001228
ENSMUSG00000039087	Rreb1	GO:0001228
ENSMUSG00000039087	Rreb1	GO:0001228
ENSMUSG00000039087	Rreb1	GO:0001228
ENSMUSG00000039087	Rreb1	GO:0001228
ENSMUSG00000039087	Rreb1	GO:0001228
ENSMUSG00000039087	Rreb1	GO:0001228
ENSMUSG00000034161	Scx	GO:0001228
ENSMUSG00000034161	Scx	GO:0001228
ENSMUSG00000034161	Scx	GO:0001228
ENSMUSG00000026468	Lhx4	GO:0001228
ENSMUSG00000026468	Lhx4	GO:0001228
ENSMUSG00000048251	Bcl11b	GO:0001228
ENSMUSG00000048251	Bcl11b	GO:0001228
ENSMUSG00000013089	Etv5	GO:0001228
ENSMUSG00000013089	Etv5	GO:0001228
ENSMUSG00000023027	Atf1	GO:0001228
ENSMUSG00000023027	Atf1	GO:0001228
ENSMUSG00000036461	Elf1	GO:0001228
ENSMUSG00000036461	Elf1	GO:0001228
ENSMUSG00000036461	Elf1	GO:0001228
ENSMUSG00000036461	Elf1	GO:0001228
ENSMUSG00000036461	Elf1	GO:0001228
ENSMUSG00000036461	Elf1	GO:0001228
ENSMUSG00000036461	Elf1	GO:0001228
ENSMUSG00000029553	Tfec	GO:0001228
ENSMUSG00000029553	Tfec	GO:0001228
ENSMUSG00000034384	Barhl2	GO:0001228
ENSMUSG00000044636	Csrnp2	GO:0001228
ENSMUSG00000021264	Yy1	GO:0001228
ENSMUSG00000021264	Yy1	GO:0001228
ENSMUSG00000009733	Tfcp2	GO:0001228
ENSMUSG00000009733	Tfcp2	GO:0001228
ENSMUSG00000009733	Tfcp2	GO:0001228
ENSMUSG00000009733	Tfcp2	GO:0001228
ENSMUSG00000009733	Tfcp2	GO:0001228
ENSMUSG00000009733	Tfcp2	GO:0001228
ENSMUSG00000009733	Tfcp2	GO:0001228
ENSMUSG00000033837	Foxh1	GO:0001228
ENSMUSG00000033837	Foxh1	GO:0001228
ENSMUSG00000033837	Foxh1	GO:0001228
ENSMUSG00000056592	Zfp658	GO:0001228
ENSMUSG00000056592	Zfp658	GO:0001228
ENSMUSG00000048756	Foxo3	GO:0001228
ENSMUSG00000048756	Foxo3	GO:0001228
ENSMUSG00000048756	Foxo3	GO:0001228
ENSMUSG00000038193	Hand2	GO:0001228
ENSMUSG00000038193	Hand2	GO:0001228
ENSMUSG00000038193	Hand2	GO:0001228
ENSMUSG00000008398	Elk3	GO:0001228
ENSMUSG00000008398	Elk3	GO:0001228
ENSMUSG00000019803	Nr2e1	GO:0001228
ENSMUSG00000044167	Foxo1	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000005583	Mef2c	GO:0001228
ENSMUSG00000024406	Pou5f1	GO:0001228
ENSMUSG00000024406	Pou5f1	GO:0001228
ENSMUSG00000024406	Pou5f1	GO:0001228
ENSMUSG00000025215	Tlx1	GO:0001228
ENSMUSG00000022500	Litaf	GO:0001228
ENSMUSG00000022500	Litaf	GO:0001228
ENSMUSG00000022500	Litaf	GO:0001228
ENSMUSG00000027985	Lef1	GO:0001228
ENSMUSG00000027985	Lef1	GO:0001228
ENSMUSG00000027985	Lef1	GO:0001228
ENSMUSG00000001911	Nfix	GO:0001228
ENSMUSG00000001911	Nfix	GO:0001228
ENSMUSG00000031162	Gata1	GO:0001228
ENSMUSG00000031162	Gata1	GO:0001228
ENSMUSG00000031162	Gata1	GO:0001228
ENSMUSG00000022510	Trp63	GO:0001228
ENSMUSG00000022510	Trp63	GO:0001228
ENSMUSG00000022510	Trp63	GO:0001228
ENSMUSG00000022510	Trp63	GO:0001228
ENSMUSG00000049532	Sall2	GO:0001228
ENSMUSG00000026380	Tfcp2l1	GO:0001228
ENSMUSG00000023034	Nr4a1	GO:0001228
ENSMUSG00000023034	Nr4a1	GO:0001228
ENSMUSG00000023034	Nr4a1	GO:0001228
ENSMUSG00000023034	Nr4a1	GO:0001228
ENSMUSG00000023034	Nr4a1	GO:0001228
ENSMUSG00000023034	Nr4a1	GO:0001228
ENSMUSG00000048402	Gli2	GO:0001228
ENSMUSG00000068079	Tcf15	GO:0001228
ENSMUSG00000078899	Gm4631	GO:0001228
ENSMUSG00000078897	Gm4724	GO:0001228
ENSMUSG00000078897	Gm4724	GO:0001228
ENSMUSG00000078897	Gm4724	GO:0001228
ENSMUSG00000025408	Ddit3	GO:0001228
ENSMUSG00000025408	Ddit3	GO:0001228
ENSMUSG00000025408	Ddit3	GO:0001228
ENSMUSG00000116429	Ddit3	GO:0001228
ENSMUSG00000116429	Ddit3	GO:0001228
ENSMUSG00000094475	Gm11007	GO:0001228
ENSMUSG00000094475	Gm11007	GO:0001228
ENSMUSG00000001419	Mef2d	GO:0001228
ENSMUSG00000001419	Mef2d	GO:0001228
ENSMUSG00000001419	Mef2d	GO:0001228
ENSMUSG00000001419	Mef2d	GO:0001228
ENSMUSG00000031870	Pgr	GO:0001228
ENSMUSG00000031870	Pgr	GO:0001228
ENSMUSG00000031870	Pgr	GO:0001228
ENSMUSG00000031870	Pgr	GO:0001228
ENSMUSG00000094932	Gm2007	GO:0001228
ENSMUSG00000094932	Gm2007	GO:0001228
ENSMUSG00000078886	Gm2026	GO:0001228
ENSMUSG00000078886	Gm2026	GO:0001228
ENSMUSG00000095648	Gm2004	GO:0001228
ENSMUSG00000095648	Gm2004	GO:0001228
ENSMUSG00000030353	Tead4	GO:0001228
ENSMUSG00000026497	Mixl1	GO:0001228
ENSMUSG00000026497	Mixl1	GO:0001228
ENSMUSG00000078881	Gm14434	GO:0001228
ENSMUSG00000078881	Gm14434	GO:0001228
ENSMUSG00000078881	Gm14434	GO:0001228
ENSMUSG00000035158	Mitf	GO:0001228
ENSMUSG00000035158	Mitf	GO:0001228
ENSMUSG00000035158	Mitf	GO:0001228
ENSMUSG00000035158	Mitf	GO:0001228
ENSMUSG00000035158	Mitf	GO:0001228
ENSMUSG00000035158	Mitf	GO:0001228
ENSMUSG00000035158	Mitf	GO:0001228
ENSMUSG00000078880	Gm14308	GO:0001228
ENSMUSG00000078880	Gm14308	GO:0001228
ENSMUSG00000078880	Gm14308	GO:0001228
ENSMUSG00000020538	Srebf1	GO:0001228
ENSMUSG00000020538	Srebf1	GO:0001228
ENSMUSG00000078878	Gm14305	GO:0001228
ENSMUSG00000015709	Arnt2	GO:0001228
ENSMUSG00000015709	Arnt2	GO:0001228
ENSMUSG00000015709	Arnt2	GO:0001228
ENSMUSG00000078877	Gm14295	GO:0001228
ENSMUSG00000078877	Gm14295	GO:0001228
ENSMUSG00000078877	Gm14295	GO:0001228
ENSMUSG00000051817	Sox12	GO:0001228
ENSMUSG00000051817	Sox12	GO:0001228
ENSMUSG00000051817	Sox12	GO:0001228
ENSMUSG00000051817	Sox12	GO:0001228
ENSMUSG00000052837	Junb	GO:0001228
ENSMUSG00000078875	Gm14419	GO:0001228
ENSMUSG00000078875	Gm14419	GO:0001228
ENSMUSG00000025229	Pitx3	GO:0001228
ENSMUSG00000025229	Pitx3	GO:0001228
ENSMUSG00000078870	Gm14410	GO:0001228
ENSMUSG00000078868	Gm14412	GO:0001228
ENSMUSG00000028901	Gmeb1	GO:0001228
ENSMUSG00000028901	Gmeb1	GO:0001228
ENSMUSG00000028901	Gmeb1	GO:0001228
ENSMUSG00000028901	Gmeb1	GO:0001228
ENSMUSG00000028901	Gmeb1	GO:0001228
ENSMUSG00000028901	Gmeb1	GO:0001228
ENSMUSG00000028901	Gmeb1	GO:0001228
ENSMUSG00000028901	Gmeb1	GO:0001228
ENSMUSG00000041578	Crx	GO:0001228
